tx_bairro;Freq;per
HUMAITA;198;0,000215717997744766
SAO CONRADO;197;0,000214628512907672
BOSQUE DA SAUDE;196;0,000213539028070577
JK;195;0,000212449543233482
MESSEJANA;195;0,000212449543233482
VILAR DOS TELES;195;0,000212449543233482
IMBIRIBEIRA;194;0,000211360058396387
JEQUIEZINHO;194;0,000211360058396387
PACAEMBU;194;0,000211360058396387
PARQUE SANTO ANTONIO;194;0,000211360058396387
JABAQUARA;193;0,000210270573559293
JOAO PAULO II;193;0,000210270573559293
SAO GONCALO;193;0,000210270573559293
MUTIRAO;192;0,000209181088722198
RIO COMPRIDO;192;0,000209181088722198
JACINTINHO;191;0,000208091603885103
RIACHO FUNDO II;191;0,000208091603885103
SETOR NORTE;191;0,000208091603885103
JARDIM;190;0,000207002119048008
PADRE EUSTAQUIO;190;0,000207002119048008
VILA PLANALTO;189;0,000205912634210913
BRAZLANDIA;187;0,000203733664536724
CERAMICA;187;0,000203733664536724
ENCRUZILHADA;187;0,000203733664536724
SAMAMBAIA NORTE (SAMAMBAIA);187;0,000203733664536724
VILA NOVA CONCEICAO;187;0,000203733664536724
FRAGATA;186;0,000202644179699629
ITAIPAVA;185;0,000201554694862534
PINA;185;0,000201554694862534
CAMPINHO;184;0,000200465210025439
MATINHA;184;0,000200465210025439
NOVO ALEIXO;184;0,000200465210025439
PIRITUBA;184;0,000200465210025439
VILA CARRAO;183;0,000199375725188345
BAIRRO ALTO;182;0,00019828624035125
GUAIANASES;182;0,00019828624035125
ITAPOA;182;0,00019828624035125
REDENCAO;182;0,00019828624035125
SAO RAIMUNDO;182;0,00019828624035125
VILA BRASIL;182;0,00019828624035125
ALPHAVILLE;181;0,000197196755514155
MACUCO;181;0,000197196755514155
PRAINHA;181;0,000197196755514155
FORTALEZA;180;0,00019610727067706
JARDIM DO LAGO;180;0,00019610727067706
VILA SANTANA;180;0,00019610727067706
CIDADE MONCOES;178;0,000193928301002871
RUDGE RAMOS;178;0,000193928301002871
SANTA FELICIDADE;178;0,000193928301002871
IGUACU;177;0,000192838816165776
JARDIM NOVO HORIZONTE;177;0,000192838816165776
MANGUINHOS;177;0,000192838816165776
MEDIANEIRA;177;0,000192838816165776
RUBEM BERTA;177;0,000192838816165776
BELVEDERE;176;0,000191749331328681
NUCLEO BANDEIRANTE;175;0,000190659846491586
PARQUE 10 DE NOVEMBRO;175;0,000190659846491586
RENASCENCA;175;0,000190659846491586
ALEIXO;174;0,000189570361654492
CAPOEIRAS;174;0,000189570361654492
CIDADE LIDER;174;0,000189570361654492
COSTA E SILVA;174;0,000189570361654492
JARDIM ITALIA;174;0,000189570361654492
BOM SUCESSO;173;0,000188480876817397
PRAZERES;173;0,000188480876817397
BETANIA;172;0,000187391391980302
CENTRO CIVICO;172;0,000187391391980302
ENSEADA DO SUA;172;0,000187391391980302
JARDIM SAO FRANCISCO;172;0,000187391391980302
SOL NASCENTE;172;0,000187391391980302
ANIL;171;0,000186301907143207
GONZAGA;171;0,000186301907143207
GRACAS;171;0,000186301907143207
JARDIM DAS FLORES;171;0,000186301907143207
JOAO XXIII;171;0,000186301907143207
ASSUNCAO;170;0,000185212422306113
JATIUCA;170;0,000185212422306113
PEDRINHAS;170;0,000185212422306113
COQUEIROS;169;0,000184122937469018
MORADA NOVA;169;0,000184122937469018
PILAR;169;0,000184122937469018
SAO JOSE OPERARIO;169;0,000184122937469018
CRISTAL;167;0,000181943967794828
JARDIM DAS AMERICAS;167;0,000181943967794828
JARDIM PROGRESSO;167;0,000181943967794828
VILA PRUDENTE;167;0,000181943967794828
VILA ROMANA;167;0,000181943967794828
CHAPADA;166;0,000180854482957733
JARDIM BANDEIRANTES;166;0,000180854482957733
JARDIM PETROPOLIS;166;0,000180854482957733
MEIA PRAIA;166;0,000180854482957733
PARQUE SAO VICENTE;166;0,000180854482957733
RECREIO;166;0,000180854482957733
SAMAMBAIA SUL (SAMAMBAIA);166;0,000180854482957733
TUCURUVI;166;0,000180854482957733
RESTINGA;165;0,000179764998120639
RIO PEQUENO;165;0,000179764998120639
ZONA URBANA;165;0,000179764998120639
JARDIM SAO LUIZ;164;0,000178675513283544
NOVO MUNDO;164;0,000178675513283544
SAO GABRIEL;164;0,000178675513283544
SETOR INDUSTRIAL;164;0,000178675513283544
ZONA 07;164;0,000178675513283544
CAMPESTRE;163;0,000177586028446449
FAZENDA;163;0,000177586028446449
JARDIM PERI;163;0,000177586028446449
JURUNAS;163;0,000177586028446449
POPULAR;163;0,000177586028446449
SETOR LESTE;163;0,000177586028446449
VILA SAO PEDRO;163;0,000177586028446449
BELENZINHO;162;0,000176496543609354
EDEN;162;0,000176496543609354
LUZ;162;0,000176496543609354
SANTO ANDRE;162;0,000176496543609354
SETOR SUDOESTE;162;0,000176496543609354
;162;0,000176496543609354
ALDEIA;161;0,00017540705877226
ALTO DO CRUZEIRO;161;0,00017540705877226
BOCA DO RIO;161;0,00017540705877226
IBURA;161;0,00017540705877226
NACOES;161;0,00017540705877226
VICENTE DE CARVALHO;161;0,00017540705877226
CASA VERDE;160;0,000174317573935165
LAGOA SECA;160;0,000174317573935165
PIABETA;160;0,000174317573935165
VILA PAULISTA;160;0,000174317573935165
COROADO;159;0,00017322808909807
CURICICA;159;0,00017322808909807
JARDIM MORUMBI;159;0,00017322808909807
JOQUEI CLUBE;159;0,00017322808909807
HORTO;158;0,000172138604260975
JARDIM SANTA MARIA;158;0,000172138604260975
JARDIM SAO PEDRO;158;0,000172138604260975
PORTO;158;0,000172138604260975
SEMINARIO;158;0,000172138604260975
ITACORUBI;157;0,00017104911942388
PORTO NOVO;157;0,00017104911942388
VITORIA;157;0,00017104911942388
BENTO RIBEIRO;156;0,000169959634586786
VILA SANTA MARIA;156;0,000169959634586786
VILA SONIA;156;0,000169959634586786
CAMPECHE;155;0,000168870149749691
COMENDADOR SOARES;155;0,000168870149749691
GUARA;155;0,000168870149749691
JARDIM SANTO ANDRE;155;0,000168870149749691
OURO VERDE;155;0,000168870149749691
BROOKLIN PAULISTA;154;0,000167780664912596
CARMO;154;0,000167780664912596
DIONISIO TORRES;154;0,000167780664912596
EDSON QUEIROZ;154;0,000167780664912596
BURITIS;153;0,000166691180075501
CASCADURA;153;0,000166691180075501
COQUEIRAL;153;0,000166691180075501
CRUZEIRO DO SUL;153;0,000166691180075501
GARCIA;153;0,000166691180075501
JOAQUIM TAVORA;153;0,000166691180075501
PARIPE;153;0,000166691180075501
SAO LUCAS;153;0,000166691180075501
VILA BELA;153;0,000166691180075501
CAJUEIRO;152;0,000165601695238407
CALIFORNIA;152;0,000165601695238407
CANDELARIA;152;0,000165601695238407
CASTANHEIRA;152;0,000165601695238407
GUARA I;152;0,000165601695238407
JARDIM DOS ESTADOS;152;0,000165601695238407
JARDIM IPE;152;0,000165601695238407
